# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
139000        290          7	 191	 1	 1	 93	 1	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
140000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
141000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
142000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H9C14N6O12	H	H6C6N12O12	H6C6N11O10	NO2	H6C6N12O11	H6C6N12O13	
143000        291          8	 190	 1	 1	 91	 3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
144000        291          4	 192	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
145000        292          4	 192	 92	 4	 4	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	
146000        292          6	 191	 1	 1	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	
147000        291          6	 191	 1	 1	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
148000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	HC2NO2	HC	H6C6N12O12	H6C6N11O10	NO2	
149000        292          7	 191	 1	 1	 1	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N10O8	NO2	H6C6N11O10	
150000        293          7	 191	 1	 1	 93	 1	 4	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
151000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
152000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C3NO2	H2C4N2O4	H6C6N12O12	H6C6N11O10	NO2	
153000        291          6	 191	 1	 1	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N12O11	H6C6N12O13	
154000        291          6	 192	 91	 3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
155000        291          4	 192	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	H5C6N12O12	H	
156000        293          8	 191	 1	 1	 92	 3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
157000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
158000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N3O5	H5C7N3O7	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
159000        291          8	 190	 1	 1	 93	 2	 2	 1	 1	
