R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R896*;S245 + S360 -> S487;C4H3N6O5 + H -> C4H4N6O5;O=N/[C]=C(\N=N\C=C(N([O])[O])N([O])[O])/N,[H]:[O]N(C(=C[N]N/C(=C/1\[N]O1)/N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.804030e+13;0
R897;S488 -> S511;C2H4N3O4 -> C2H4N3O4;[O]N(C(=O)C([O])(N)N)[O]:[O]N([C@]1([O])OC1(N)N)[O];3.333333e+11;1.412111e+10;1.588389e+12;1
R897*;S511 -> S488;C2H4N3O4 -> C2H4N3O4;[O]N([C@]1([O])OC1(N)N)[O]:[O]N(C(=O)C([O])(N)N)[O];0.000000e+00;0.000000e+00;4.279618e+12;0
R898;S490 + S536 -> S501;C2HN2O4 + NO2 -> C2HN3O6;[O]N(C(=[CH])N([O])[O])[O],[O]N=O:[O]N(C=C(N([O])[O])N([O])[O])[O];4.375500e+08;1.853607e+07;2.084999e+09;1
R898*;S501 -> S490 + S536;C2HN3O6 -> C2HN2O4 + NO2;[O]N(C=C(N([O])[O])N([O])[O])[O]:[O]N(C(=[CH])N([O])[O])[O],[O]N=O;0.000000e+00;0.000000e+00;5.991465e+12;0
R899;S490 -> S353 + S536;C2HN2O4 -> C2HNO2 + NO2;[O]N(C(=[CH])N([O])[O])[O]:[CH]=[C]N([O])[O],[O]N=O;9.708738e+10;4.112945e+09;4.626377e+11;1
R899*;S353 + S536 -> S490;C2HNO2 + NO2 -> C2HN2O4;[CH]=[C]N([O])[O],[O]N=O:[O]N(C(=[CH])N([O])[O])[O];0.000000e+00;0.000000e+00;4.952997e+08;0
R900;S494 -> S63;C2H3N4O5 -> C2H3N4O5;[O]N(C(C(=N)[O])(N([O])[O])N)[O]:N=[C]OC(N([O])[O])(N([O])[O])N;1.369863e+11;5.803196e+09;6.527628e+11;1
R900*;S63 -> S494;C2H3N4O5 -> C2H3N4O5;N=[C]OC(N([O])[O])(N([O])[O])N:[O]N(C(C(=N)[O])(N([O])[O])N)[O];0.000000e+00;0.000000e+00;2.496444e+12;0
R901;S495 -> S362 + S499 + S536;C2H4N4O5 -> H2N + C2H2N2O3 + NO2;[O]N(C1(OC1(N)N)N([O])[O])[O]:[NH2],[O]N(C1=C(O1)N)[O],[O]N=O;3.134796e+10;1.328004e+09;1.493783e+11;1
R901*;S362 + S499 + S536 -> S495;H2N + C2H2N2O3 + NO2 -> C2H4N4O5;[NH2],[O]N(C1=C(O1)N)[O],[O]N=O:[O]N(C1(OC1(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;8.347454e+06;0
R902;S495 -> S470 + S536;C2H4N4O5 -> C2H4N3O3 + NO2;[O]N(C1(OC1(N)N)N([O])[O])[O]:[O]N(C(=C(N)N)[O])[O],[O]N=O;3.134796e+10;1.328004e+09;1.493783e+11;1
R902*;S470 + S536 -> S495;C2H4N3O3 + NO2 -> C2H4N4O5;[O]N(C(=C(N)N)[O])[O],[O]N=O:[O]N(C1(OC1(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.637348e+09;0
R903;S496 -> S362 + S497;C2H3N4O5 -> H2N + C2HN3O5;[O]N(C1(OC1([NH])N)N([O])[O])[O]:[NH2],[O]N(C1(OC1=N)N([O])[O])[O];2.040816e+11;8.645578e+09;9.724833e+11;1
R903*;S362 + S497 -> S496;H2N + C2HN3O5 -> C2H3N4O5;[NH2],[O]N(C1(OC1=N)N([O])[O])[O]:[O]N(C1(OC1([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.508008e+09;0
R904;S496 -> S492;C2H3N4O5 -> C2H3N4O5;[O]N(C1(OC1([NH])N)N([O])[O])[O]:[O]N(C(C(=N)N)(N([O])[O])[O])[O];2.040816e+11;8.645578e+09;9.724833e+11;1
R904*;S492 -> S496;C2H3N4O5 -> C2H3N4O5;[O]N(C(C(=N)N)(N([O])[O])[O])[O]:[O]N(C1(OC1([NH])N)N([O])[O])[O];1.724138e+11;7.304023e+09;8.215807e+11;1
R905;S497 -> S500 + S536;C2HN3O5 -> C2HN2O3 + NO2;[O]N(C1(OC1=N)N([O])[O])[O]:[O]N(C1=C(O1)[NH])[O],[O]N=O;3.105590e+10;1.315631e+09;1.479866e+11;1
R905*;S500 + S536 -> S497;C2HN2O3 + NO2 -> C2HN3O5;[O]N(C1=C(O1)[NH])[O],[O]N=O:[O]N(C1(OC1=N)N([O])[O])[O];0.000000e+00;0.000000e+00;4.315861e+10;0
R906;S497 -> S516 + S536;C2HN3O5 -> C2HN2O3 + NO2;[O]N(C1(OC1=N)N([O])[O])[O]:[O]N([C]1OC1=N)[O],[O]N=O;3.105590e+10;1.315631e+09;1.479866e+11;1
R906*;S516 + S536 -> S497;C2HN2O3 + NO2 -> C2HN3O5;[O]N([C]1OC1=N)[O],[O]N=O:[O]N(C1(OC1=N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.106767e+11;0
R907;S498 -> S166;C2H3N4O4 -> C2H3N4O4;[O]N(C1=C(N)NON1[O])[O]:NON(C(=C=N)N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R907*;S166 -> S498;C2H3N4O4 -> C2H3N4O4;NON(C(=C=N)N([O])[O])[O]:[O]N(C1=C(N)NON1[O])[O];0.000000e+00;0.000000e+00;9.985774e+12;0
R908;S499 + S536 -> S186;C2H2N2O3 + NO2 -> C2H2N3O5;[O]N(C1=C(O1)N)[O],[O]N=O:N[C]1OC1(N([O])[O])N([O])[O];4.332062e+08;1.028866e+08;1.147751e+09;3
R908*;S186 -> S499 + S536;C2H2N3O5 -> C2H2N2O3 + NO2;N[C]1OC1(N([O])[O])N([O])[O]:[O]N(C1=C(O1)N)[O],[O]N=O;1.840491e+11;4.371171e+10;4.876255e+11;3
R909;S499 -> S72 + S536;C2H2N2O3 -> C2H2NO + NO2;[O]N(C1=C(O1)N)[O]:NC#C[O],[O]N=O;2.493766e+10;1.056442e+09;1.188321e+11;1
R909*;S72 + S536 -> S499;C2H2NO + NO2 -> C2H2N2O3;NC#C[O],[O]N=O:[O]N(C1=C(O1)N)[O];0.000000e+00;0.000000e+00;1.704118e+08;0
R910;S499 -> S190;C2H2N2O3 -> C2H2N2O3;[O]N(C1=C(O1)N)[O]:N[C]C(=O)N([O])[O];2.493766e+10;1.056442e+09;1.188321e+11;1
R910*;S190 -> S499;C2H2N2O3 -> C2H2N2O3;N[C]C(=O)N([O])[O]:[O]N(C1=C(O1)N)[O];0.000000e+00;0.000000e+00;1.497866e+13;0
R911;S500 + S536 -> S61;C2HN2O3 + NO2 -> C2HN3O5;[O]N(C1=C(O1)[NH])[O],[O]N=O:N=[C]C(N([O])[O])(N([O])[O])[O];1.440670e+10;6.103158e+08;6.865034e+10;1
R911*;S61 -> S500 + S536;C2HN3O5 -> C2HN2O3 + NO2;N=[C]C(N([O])[O])(N([O])[O])[O]:[O]N(C1=C(O1)[NH])[O],[O]N=O;0.000000e+00;0.000000e+00;6.657183e+11;0
R912;S500 -> S482;C2HN2O3 -> C2HN2O3;[O]N(C1=C(O1)[NH])[O]:[O]N(C(=C=N)[O])[O];6.666667e+12;1.011669e+12;2.133741e+13;2
R912*;S482 -> S500;C2HN2O3 -> C2HN2O3;[O]N(C(=C=N)[O])[O]:[O]N(C1=C(O1)[NH])[O];0.000000e+00;0.000000e+00;4.755131e+11;0
R913;S501 -> S462 + S536;C2HN3O6 -> C2HN2O4 + NO2;[O]N(C=C(N([O])[O])N([O])[O])[O]:[O]N(/[C]=C\N([O])[O])[O],[O]N=O;2.000000e+12;8.472667e+10;9.530336e+12;1
R913*;S462 + S536 -> S501;C2HN2O4 + NO2 -> C2HN3O6;[O]N(/[C]=C\N([O])[O])[O],[O]N=O:[O]N(C=C(N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;1.151190e+09;0
R914;S503 -> S362 + S500 + S530;C4H7N6O4 -> H2N + C2HN2O3 + C2H4N3O;[O]N(OC([C]1ON1[O])([NH])N)[C]=C(N)N:[NH2],[O]N(C1=C(O1)[NH])[O],[O]N=C=C(N)N;1.000000e+13;4.236333e+11;4.765168e+13;1
R914*;S362 + S500 + S530 -> S503;H2N + C2HN2O3 + C2H4N3O -> C4H7N6O4;[NH2],[O]N(C1=C(O1)[NH])[O],[O]N=C=C(N)N:[O]N(OC([C]1ON1[O])([NH])N)[C]=C(N)N;0.000000e+00;0.000000e+00;2.258601e+10;0
R915;S504 -> S503;C4H7N6O4 -> C4H7N6O4;[O]N(OC([C]N([O])[O])([NH])N)[C]=C(N)N:[O]N(OC([C]1ON1[O])([NH])N)[C]=C(N)N;1.000000e+13;4.236333e+11;4.765168e+13;1
R915*;S503 -> S504;C4H7N6O4 -> C4H7N6O4;[O]N(OC([C]1ON1[O])([NH])N)[C]=C(N)N:[O]N(OC([C]N([O])[O])([NH])N)[C]=C(N)N;0.000000e+00;0.000000e+00;2.995732e+13;0
R916;S505 -> S229 + S447;C2H4N4O4 -> C2H3N4O3 + HO;[O]N([C@]1(ON1O)C(=N)N)[O]:O=N/C(=C(\[NH])/N)/N([O])[O],[OH];1.000000e+13;4.236333e+11;4.765168e+13;1
R916*;S229 + S447 -> S505;C2H3N4O3 + HO -> C2H4N4O4;O=N/C(=C(\[NH])/N)/N([O])[O],[OH]:[O]N([C@]1(ON1O)C(=N)N)[O];0.000000e+00;0.000000e+00;5.955860e+09;0
R917;S506 -> S302;C2H3N4O4 -> C2H3N4O4;[O]N([C@]1(ON1O)C(=N)[NH])[O]:ON(C(=C([NH])[NH])N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R917*;S302 -> S506;C2H3N4O4 -> C2H3N4O4;ON(C(=C([NH])[NH])N([O])[O])[O]:[O]N([C@]1(ON1O)C(=N)[NH])[O];0.000000e+00;0.000000e+00;1.461333e+11;0
R918;S507 -> S92 + S536;C2H3N4O3 -> C2H3N3O + NO2;[O]N([C@]1(O[N]1)C(=N)N)[O]:NC(=N)C1=NO1,[O]N=O;9.523810e+11;1.445241e+11;3.048201e+12;2
R918*;S92 + S536 -> S507;C2H3N3O + NO2 -> C2H3N4O3;NC(=N)C1=NO1,[O]N=O:[O]N([C@]1(O[N]1)C(=N)N)[O];1.740125e+07;7.371752e+05;8.291991e+07;1
R919;S507 -> S229;C2H3N4O3 -> C2H3N4O3;[O]N([C@]1(O[N]1)C(=N)N)[O]:O=N/C(=C(\[NH])/N)/N([O])[O];4.761905e+11;2.017302e+10;2.269128e+12;1
R919*;S229 -> S507;C2H3N4O3 -> C2H3N4O3;O=N/C(=C(\[NH])/N)/N([O])[O]:[O]N([C@]1(O[N]1)C(=N)N)[O];0.000000e+00;0.000000e+00;3.114067e+10;0
R920;S507 -> S260 + S362;C2H3N4O3 -> C2HN3O3 + H2N;[O]N([C@]1(O[N]1)C(=N)N)[O]:O=NC(=C=N)N([O])[O],[NH2];4.761905e+11;2.017302e+10;2.269128e+12;1
R920*;S260 + S362 -> S507;C2HN3O3 + H2N -> C2H3N4O3;O=NC(=C=N)N([O])[O],[NH2]:[O]N([C@]1(O[N]1)C(=N)N)[O];0.000000e+00;0.000000e+00;6.557724e+08;0
R921;S509 -> S129;C2H2N4O3 -> C2H2N4O3;[O]N([C@]1(O[N]1)C(=[N])N)[O]:NN=C=C(N([O])[O])N=O;5.000000e+12;2.118167e+11;2.382584e+13;1
R921*;S129 -> S509;C2H2N4O3 -> C2H2N4O3;NN=C=C(N([O])[O])N=O:[O]N([C@]1(O[N]1)C(=[N])N)[O];0.000000e+00;0.000000e+00;1.033011e+12;0
R922;S509 -> S221;C2H2N4O3 -> C2H2N4O3;[O]N([C@]1(O[N]1)C(=[N])N)[O]:O=N/C(=C(/[N])\N)/N([O])[O];5.000000e+12;2.118167e+11;2.382584e+13;1
