R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R538;S322 -> S461 + S497;C2H5N4O4 -> NO + C2H5N3O3;ON(C(=C(N)N)N([O])[O])[O]:[N]=O,[O]N(C(=C(N)N)O)[O];9.124088e+09;3.865268e+08;4.347781e+10;1
R538*;S461 + S497 -> S322;NO + C2H5N3O3 -> C2H5N4O4;[N]=O,[O]N(C(=C(N)N)O)[O]:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.805836e+10;0
R539;S322 -> S477 + S621 + S625;C2H5N4O4 -> HO + C2H4N3O + NO2;ON(C(=C(N)N)N([O])[O])[O]:[OH],[O]N=C=C(N)N,[O]N=O;9.124088e+09;3.865268e+08;4.347781e+10;1
R539*;S477 + S621 + S625 -> S322;HO + C2H4N3O + NO2 -> C2H5N4O4;[OH],[O]N=C=C(N)N,[O]N=O:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;9.044127e+06;0
R540;S323 + S389 -> S5 + S314;C2H3N4O4 + H2N -> H3N + C2H2N4O4;ON(C(=C([NH])[NH])N([O])[O])[O],[NH2]:N,ON(/C(=C(\[N])/[NH])/N([O])[O])[O];3.017185e+08;1.278180e+07;1.437740e+09;1
R540*;S5 + S314 -> S323 + S389;H3N + C2H2N4O4 -> C2H3N4O4 + H2N;N,ON(/C(=C(\[N])/[NH])/N([O])[O])[O]:ON(C(=C([NH])[NH])N([O])[O])[O],[NH2];0.000000e+00;0.000000e+00;2.909726e+11;0
R541;S323 + S606 -> S319 + S625;C2H3N4O4 + C7H5N3O6 -> C9H8N6O8 + NO2;ON(C(=C([NH])[NH])N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O]:ON(/[C]=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])[O],[O]N=O;9.375097e+07;3.971604e+06;4.467392e+08;1
R541*;S319 + S625 -> S323 + S606;C9H8N6O8 + NO2 -> C2H3N4O4 + C7H5N3O6;ON(/[C]=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])[O],[O]N=O:ON(C(=C([NH])[NH])N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];0.000000e+00;0.000000e+00;2.863540e+11;0
R542;S323 -> S235 + S477;C2H3N4O4 -> C2H2N4O3 + HO;ON(C(=C([NH])[NH])N([O])[O])[O]:O=NC(=C([NH])[NH])N([O])[O],[OH];1.597444e+10;6.767306e+08;7.612090e+10;1
R542*;S235 + S477 -> S323;C2H2N4O3 + HO -> C2H3N4O4;O=NC(=C([NH])[NH])N([O])[O],[OH]:ON(C(=C([NH])[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;1.720746e+09;0
R543;S323 -> S499;C2H3N4O4 -> C2H3N4O4;ON(C(=C([NH])[NH])N([O])[O])[O]:[O]N(C(=C(N)[NH])N([O])[O])[O];1.597444e+10;6.767306e+08;7.612090e+10;1
R543*;S499 -> S323;C2H3N4O4 -> C2H3N4O4;[O]N(C(=C(N)[NH])N([O])[O])[O]:ON(C(=C([NH])[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;8.111921e+09;0
R544;S324 -> S238 + S477;C2H3N3O4 -> C2H2N3O3 + HO;ON(C(=C=N)N([O])O)[O]:O=NC(=C=N)N(O)[O],[OH];3.225806e+11;1.366559e+10;1.537151e+12;1
R544*;S238 + S477 -> S324;C2H2N3O3 + HO -> C2H3N3O4;O=NC(=C=N)N(O)[O],[OH]:ON(C(=C=N)N([O])O)[O];0.000000e+00;0.000000e+00;2.358209e+10;0
R545;S325 + S389 -> S121;C2H2N3O4 + H2N -> C2H4N4O4;ON(C(=C=N)N([O])[O])[O],[NH2]:NN/[C]=C(\N([O])[O])/N(O)[O];1.055399e+08;4.471021e+06;5.029153e+08;1
R545*;S121 -> S325 + S389;C2H4N4O4 -> C2H2N3O4 + H2N;NN/[C]=C(\N([O])[O])/N(O)[O]:ON(C(=C=N)N([O])[O])[O],[NH2];0.000000e+00;0.000000e+00;2.304409e+12;0
R546;S325 + S389 -> S156;C2H2N3O4 + H2N -> C2H4N4O4;ON(C(=C=N)N([O])[O])[O],[NH2]:NON(C(=C=N)N(O)[O])[O];1.055399e+08;4.471021e+06;5.029153e+08;1
R546*;S156 -> S325 + S389;C2H4N4O4 -> C2H2N3O4 + H2N;NON(C(=C=N)N(O)[O])[O]:ON(C(=C=N)N([O])[O])[O],[NH2];5.000000e+12;2.118167e+11;2.382584e+13;1
R547;S325 + S389 -> S185;C2H2N3O4 + H2N -> C2H4N4O4;ON(C(=C=N)N([O])[O])[O],[NH2]:N[N]/C=C(\N([O])[O])/N(O)[O];1.055399e+08;4.471021e+06;5.029153e+08;1
R547*;S185 -> S325 + S389;C2H4N4O4 -> C2H2N3O4 + H2N;N[N]/C=C(\N([O])[O])/N(O)[O]:ON(C(=C=N)N([O])[O])[O],[NH2];5.000000e+12;2.118167e+11;2.382584e+13;1
R548;S325 + S606 -> S327 + S599;C2H2N3O4 + C7H5N3O6 -> C2HN3O4 + C7H6N3O6;ON(C(=C=N)N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O]:ON(C(=C=[N])N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N(O)[O])C)[O];3.466578e+07;1.468558e+06;1.651883e+08;1
